mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1210402488708496,0.004157232440720403,0.0031488895416259765,0.0018929909967876535,10,1.0,0.9,0.01,"{'max_depth': 10, 'max_features': 1.0, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.9422382671480144,0.9602888086642599,0.967391304347826,0.9782608695652174,0.967391304347826,0.9631141108146288,0.011914665339179151,1
0.11102628707885742,0.0093519791037148,0.009921503067016602,0.006346037875017564,10,0.9,0.9,0.01,"{'max_depth': 10, 'max_features': 0.9, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.9386281588447654,0.9711191335740073,0.967391304347826,0.9637681159420289,0.9746376811594203,0.9631088787736095,0.012768374031925976,2
0.11904149055480957,0.0054370726814039145,0.006229543685913086,0.0051565809953185065,10,1.0,1.0,0.01,"{'max_depth': 10, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_split': 0.01}",0.9530685920577617,0.9602888086642599,0.9601449275362319,0.9746376811594203,0.967391304347826,0.9631062627531,0.007332088089045195,3
0.11565461158752441,0.010559299177480714,0.007685232162475586,0.005014914427544655,10,0.8,0.9,0.01,"{'max_depth': 10, 'max_features': 0.8, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.9350180505415162,0.9711191335740073,0.9637681159420289,0.9746376811594203,0.9637681159420289,0.9616622194318003,0.01397552981618639,4
0.11578779220581055,0.007775737681668569,0.007239103317260742,0.004448130484903576,10,0.9,1.0,0.01,"{'max_depth': 10, 'max_features': 0.9, 'max_samples': 1.0, 'min_samples_split': 0.01}",0.9458483754512635,0.9638989169675091,0.9601449275362319,0.967391304347826,0.9710144927536232,0.9616596034112908,0.008691030411253419,5
0.10805559158325195,0.004337195026975728,0.005333709716796875,0.00044967105234037976,10,0.7,0.7,0.01,"{'max_depth': 10, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.9314079422382672,0.9711191335740073,0.9601449275362319,0.9746376811594203,0.967391304347826,0.9609401977711505,0.015528265408089197,6
0.11929311752319335,0.009485777536095957,0.005127143859863281,0.004662756159630933,10,0.8,1.0,0.01,"{'max_depth': 10, 'max_features': 0.8, 'max_samples': 1.0, 'min_samples_split': 0.01}",0.9314079422382672,0.9711191335740073,0.9601449275362319,0.967391304347826,0.9746376811594203,0.9609401977711505,0.015528265408089197,6
0.10905866622924805,0.005029405682590291,0.007197809219360351,0.0049703337379831125,10,0.7,0.8,0.01,"{'max_depth': 10, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.9350180505415162,0.9675090252707581,0.9565217391304348,0.9782608695652174,0.9637681159420289,0.9602155600899911,0.01442225559479752,8
0.1125596046447754,0.0013111751182720256,0.005331611633300782,0.000764620755270674,10,0.7,0.9,0.01,"{'max_depth': 10, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.9386281588447654,0.9675090252707581,0.9601449275362319,0.9746376811594203,0.9601449275362319,0.9602129440694815,0.01206000038726527,9
0.12028498649597168,0.005458813204673712,0.002052783966064453,0.0025155291082861273,10,1.0,0.8,0.01,"{'max_depth': 10, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.9314079422382672,0.9602888086642599,0.967391304347826,0.967391304347826,0.9710144927536232,0.9594987704703606,0.01447007140847554,10
0.11562643051147461,0.002532355198150021,0.0020215511322021484,0.0024977401532844264,10,0.9,0.7,0.01,"{'max_depth': 10, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.9314079422382672,0.9638989169675091,0.9601449275362319,0.9746376811594203,0.967391304347826,0.9594961544498508,0.014834770726610973,11
0.11119551658630371,0.005130053242215636,0.005625724792480469,0.00034991826663754923,10,0.8,0.8,0.01,"{'max_depth': 10, 'max_features': 0.8, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.9314079422382672,0.9711191335740073,0.9637681159420289,0.9637681159420289,0.9637681159420289,0.9587662847276721,0.013972306358498771,12
0.10366215705871581,0.0035571222468207377,0.008249902725219726,0.005270171927758123,10,0.8,0.7,0.01,"{'max_depth': 10, 'max_features': 0.8, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.9314079422382672,0.9638989169675091,0.9565217391304348,0.9637681159420289,0.967391304347826,0.9565976037252131,0.013082463031920975,13
